prices,address,no_beds,baths,sqft
160000, 3000 Guadalupe St UNIT 301 Austin TX 78705 ,1,1,401
375000, 1307 Showbox St Pflugerville TX 78660 ,1,1,401
201450, 2804 S 1st St #1302 Austin TX 78704 ,1,1,484
409000, 411 W Saint Elmo Rd APT 21 Austin TX 78745 ,1,1,484
495000, 5312 Medford Dr Austin TX 78723 ,1,1,484
899000, 1001 N Cuernavaca Dr Austin TX 78733 ,1,1,484
647000, 11411 Arbor Downs Rd Austin TX 78748 ,1,1,484
539999, 2000 Westfalian Trl APT 5 Austin TX 78732 ,1,1,484
350000, 2500 Enfield Rd APT 2 Austin TX 78703 ,1,1,484
280000, 1800 E 4th St UNIT 202 Austin TX 78702 ,1,1,484
339900, 914 Wessex Way Austin TX 78748 ,2,2,1192
499000, 2107 Maple Ave Austin TX 78722 ,2,1,750
315000, 3801 Menchaca Rd #17 Austin TX 78704 ,2,3,1076
1995000, 11401 Eagles Glen Dr Austin TX 78732 ,2,2,1192
899900, 7705 El Dorado Dr Austin TX 78737 ,2,1,750
351990, The Quinn (S104) Plan Easton Park ,2,3,1076
250000, 6810 Deatonhill Dr APT 1104 Austin TX 78745 ,2,2,1051
260000, 2600 Penny Ln APT 105 Austin TX 78757 ,2,2,834
750000, 42 Robert T Martinez Jr St Austin TX 78702 ,2,2,924
350000, 731 E Oltorf St Austin TX 78704 ,2,2,1101
900000, 3601 Oak Springs Dr Austin TX 78721 ,2,4,2600
725000, 360 Nueces St APT 2202 Austin TX 78701 ,2,2,1059
375000, 4361 S Congress Ave #429 Austin TX 78745 ,2,2,1081
585990, 4416 Speedway Austin TX 78751 ,2,2,1272
699900, 2103 Fortview Rd Austin TX 78704 ,2,2,1051
1250000, 4505 Mountain Path Dr Austin TX 78759 ,2,2,834
499900, 15633 Interlachen Dr Austin TX 78717 ,2,2,924
275000, 7412 Poinsetta Ln Austin TX 78744 ,2,2,1101
450000, 4917 Sunset Trl #A Austin TX 78745 ,2,4,2600
295000, 7805 Cooper Ln UNIT 505 Austin TX 78745 ,2,2,1059
725000, 10404 Ember Glen Dr Austin TX 78726 ,2,2,1081
659000, 2601 N Quinlan Park Rd SUITE 701 Austin TX 78732 ,2,2,1272
279990, The Denton Plan Forest Bluff ,2,2,1051
310000, 1130 Walton Ln Austin TX 78721 ,2,2,834
345000, 10009 Derringer Trl Austin TX 78753 ,2,2,924
339990, The Patriot Plan Parker Station ,2,2,1101
626704, 7915 Ryans Way Austin TX 78726 ,2,4,2600
350000, 11808 Hartley Cv Austin TX 78748 ,2,2,1059
625000, 4304 Andalusia Dr Austin TX 78759 ,2,2,1081
700000, 7905 Crandall Rd Austin TX 78739 ,2,2,1272
1899900, 1106 Algarita Ave Austin TX 78704 ,2,2,1051
345000, 8317 Chick Pea Ln Austin TX 78748 ,2,2,834
365000, 10953 Colonel Winn Loop Austin TX 78748 ,2,2,924
1850000, 2415 Hartford Rd #A Austin TX 78703 ,2,2,1101
540000, 5416 Agatha Cir Austin TX 78724 ,2,4,2600
299900, 9607 Magna Carta Loop Austin TX 78754 ,2,2,1059
819000, 137 Finnel Cove Austin TX 78737 ,2,2,1081
324990, 9104 Edmundsbury Dr Austin TX 78747 ,2,2,1272
274999, 12253 Chelsea Glen Pl #C Austin TX 78753 ,2,2,1051
310000, 516 E Slaughter Ln #3101 Austin TX 78744 ,2,2,834
1695000, 4904 Balcones Dr Austin TX 78731 ,2,2,924
205000, 6718 Silvermine Dr APT 602 Austin TX 78736 ,2,2,1101
645000, 3811 Half Penny Rd Austin TX 78722 ,2,4,2600
399900, 5900 Cannon Mountain Dr Austin TX 78749 ,2,2,1059
235000, 2200 Dickson Dr APT 108 Austin TX 78704 ,2,2,1081
179000, 6910 Hart Ln APT 308 Austin TX 78731 ,2,2,1272
192400, 6903 Deatonhill Dr APT 11 Austin TX 78745 ,2,2,1051
140000, 1840 Burton Dr APT 215 Austin TX 78741 ,2,2,834
1400000, 509 Krebs Ln Austin TX 78704 ,2,2,924
475000, 6801 Shier Cv #A &amp; B Austin TX 78745 ,2,2,1101
340000, 12800 Venice Ln Austin TX 78750 ,2,4,2600
145000, 12166 Metric Blvd APT 137 Austin TX 78758 ,2,2,1059
450000, 608 Old Stone Rd Austin TX 78745 ,2,2,1081
410000, 9613 Holly Springs Dr Austin TX 78748 ,2,2,1272
560000, 12321 Capitol Saddlery Trl Austin TX 78732 ,2,2,1051
799000, 2408 Glen Springs Way Austin TX 78741 ,2,2,834
532000, 10448 Fm 812 Austin TX 78719 ,2,2,924
825000, 7202 Desert Rose Cv Austin TX 78750 ,2,2,1101
319900, 1500 E Side Dr UNIT 102-B Austin TX 78704 ,2,4,2600
795000, 3604 Robbins Rd Austin TX 78730 ,2,2,1059
480000, 405 W North Loop Blvd #1 Austin TX 78751 ,2,2,1081
1395000, 904 James St Austin TX 78704 ,2,2,1272
470000, 6213 Adalee Ave Austin TX 78723 ,2,2,1051
425000, 1212 Guadalupe St APT 904 Austin TX 78701 ,2,2,834
410000, 7337 Menchaca Rd #22 Austin TX 78745 ,2,2,924
216900, 2401 Manor Rd APT 203 Austin TX 78722 ,2,2,1101
720000, 9513 Prescott Dr Austin TX 78749 ,2,4,2600
875000, 3001 Stokes Dr Austin TX 78702 ,2,2,1059
244900, 2213 Poquito St UNIT 316 Austin TX 78722 ,2,2,1081
210000, 710 E Dean Keeton St APT 109 Austin TX 78705 ,2,2,1272
349000, 8724 Panadero Dr Austin TX 78747 ,3,3,2790
315000, 11732 Gaelic Dr Austin TX 78754 ,3,2,1704
285000, 10008 Deer Chase Trl Austin TX 78747 ,3,2,1308
295000, 8800 Wiley Way Austin TX 78747 ,3,3,2101
349900, 9710 Tall Tree Ln #128 Austin TX 78748 ,3,3,1886
310000, 2020 Wayward Sun Dr Austin TX 78754 ,3,2,1650
189000, 11613 Maybach Dr Del Valle TX 78617 ,3,2,1201
250000, 15117 Bigelow Dr Austin TX 78724 ,3,2,1326
298900, 4611 Best Way Austin TX 78725 ,3,2,1112
420000, 1205 Showbox Austin TX 78660 ,3,3,1753
353990, The Denali Plan Parker Station ,3,3,1813
699000, 707 Cardinal Ln APT N-2 Austin TX 78704 ,3,4,1826
575000, 8312 Turning Trl Austin TX 78737 ,3,3,2522
539000, 5707 Marchmont Ln Austin TX 78749 ,3,3,2041
219900, 14400 Vandever St Austin TX 78725 ,3,2,1476
390000, 192 Village Oak Dr Austin TX 78737 ,3,3,2790
235000, 4713 Lake George Ln #185 Austin TX 78754 ,3,2,1704
499900, 9704 Chukar Cir Austin TX 78758 ,3,2,1308
550000, 149 Catalina Ln Austin TX 78737 ,3,3,2101
750000, 12221 Palisades Pkwy Austin TX 78732 ,3,3,1886
375000, 10006 Baden Ln Austin TX 78754 ,3,2,1650
350000, 14812 Avery Ranch Blvd APT 28 Austin TX 78717 ,3,2,1201
235000, 9009 North Plz UNIT 121 Austin TX 78753 ,3,2,1326
6500000, 1855 Westlake Dr Austin TX 78746 ,3,2,1112
375000, 2605 Enfield Rd APT 221 Austin TX 78703 ,3,3,1753
539500, 12524 Capitol Saddlery Trl Austin TX 78732 ,3,3,1813
249900, 6510 Stonleigh Pl Austin TX 78744 ,3,4,1826
495000, 5705 Woodrow Ave Austin TX 78756 ,3,3,2522
499900, 2936 Persimmon Valley Trl Austin TX 78732 ,3,3,2041
